INCHIKEY,SMILES
MBZKDBQDALOSRP-UHFFFAOYSA-N,CC1(C=CC2=C(O1)C=C3C(=C2OC)C(=C(C(=O)O3)C4=CC=C(C=C4)OC)O)C
RPMNUQRUHXIGHK-PYXJVEIZSA-N,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O
ILRCGYURZSFMEG-RKQHYHRCSA-N,C1=CC(=CC=C1CCOC2C(C(C(C(O2)CO)O)O)O)O
FCDLCPWAQCPTKC-UHFFFAOYSA-N,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)C(=O)O
RRCYPDDIDYVEIW-UHFFFAOYSA-N,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3O)OC
LREZRXWUEZCZRU-UHFFFAOYSA-N,CC1=CC2=CC(=C(C(=C2C(=O)O1)O)OC)O
PMATZTZNYRCHOR-KMSBSJHKSA-N,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C
QEVHRUUCFGRFIF-MDEJGZGSSA-N,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC
JJOLHRYZQSDLSA-UHFFFAOYSA-N,CC1(CC2=CC(=C3C(=C2C(=O)C1)C(=O)C4=C(C3=O)C(=CC=C4)O)O)O
GJAWHXHKYYXBSV-UHFFFAOYSA-N,C1=CC(=C(N=C1)C(=O)O)C(=O)O
LOUPRKONTZGTKE-LHHVKLHASA-N,COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O
OXGUCUVFOIWWQJ-HQBVPOQASA-N,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O
NBQPHANHNTWDML-UJKBSQBPSA-N,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)COC(=O)CC(=O)O)O)O)O)O)O
DUBCCGAQYVUYEU-ZUGPOPFOSA-N,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O
REFJWTPEDVJJIY-UHFFFAOYSA-N,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O
LXNHXLLTXMVWPM-UHFFFAOYSA-N,CC1=NC=C(C(=C1O)CO)CO
RBQNDQOKFICJGL-UTBFYLPBSA-N,CC1CCC(C=CC(=O)OC(CCC(C=CC(=O)O1)O)C)O
PJSKCCANFAFYHW-UHFFFAOYSA-N,C1=C2C=C(C(=C(C2=C(C(=O)C=C1C(=O)O)O)O)O)O
NUYFKDBCHFKOBT-UHFFFAOYSA-N,CC1=CC2=C(C(=C1)O)OC3=C(C(=C(C=C3)C(CC(C)C)OC(=O)C)OC)C(=O)OC2
IUIHYYSAVUBPQO-UHFFFAOYSA-N,CC1=CCC2=C(C=C3C(=C2O)C(=O)C=C(O3)C)OC1
NOHXYGXFTACADH-JHLBFKOCSA-N,CC1CC(C2(C13CC(=O)C(C2(COC(=O)C3)C)(C)O)O)O
DLIKSSGEMUFQOK-SFTVRKLSSA-N,C1C(OC2=CC(=CC(=C2C1=O)O)OC3C(C(C(C(O3)CO)O)O)O)C4=CC=C(C=C4)O
ZCFFYALKHPIRKJ-UHFFFAOYSA-N,CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C=C)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C=C
RBQOQRRFDPXAGN-UHFFFAOYSA-N,CCCN1C=NC2=C1C(=O)N(C(=O)N2C)CCCCC(=O)C
RJKFOVLPORLFTN-LEKSSAKUSA-N,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C
JFACETXYABVHFD-WXPPGMDDSA-N,CC1=C(C(=O)C=C2C1=CC=C3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C(=O)OC)C)C)C)C)O
IYBLVRRCNVHZQJ-UHFFFAOYSA-N,C1=CC=C(C=C1)C2=CC(=O)C3=C(C=CC=C3O2)O
AWEFUQDNSBBNCR-UHFFFAOYSA-N,CC(=CCOC1=C(C=C2C=CC(=O)OC2=C1)O)C
HHSKNLJWHGXWPK-BFMVXSJESA-N,C1=CC=C(C=C1)C(=O)OCC2C(C(C(C(O2)OC3=CC=CC=C3CO)O)O)O
QCLBGWSAIHOGCA-UHFFFAOYSA-N,CC1(C=CC2=C(O1)C=CC3=C2OC(=C(C3=O)OC)C4=CC=CC=C4)C
GHCZYXUOYFOXIP-UHFFFAOYSA-N,CC(=CCC1=C2C(=C3C(=C1O)C(=O)C(=CO3)C4=CC(=C(C=C4)O)O)C=CC(O2)(C)C)C
YMWRMAOPKNYHMZ-LLVTZOIGSA-N,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OCCC3=CC(=C(C=C3)O)O)O)OC4C(C(C(C(O4)C)O)O)O)OC(=O)C=CC5=CC(=C(C=C5)O)O)O)O)O
YJGVMLPVUAXIQN-XVVDYKMHSA-N,COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O
AOPMSFXOYJXDNJ-IRFSQMTFSA-N,CC(C1=CC2(C=CC3C2C(OC=C3C(=O)OC)OC4C(C(C(C(O4)CO)O)O)O)OC1=O)O
GIKJADRKBZHVCY-DUXPYHPUSA-N,C1=CC(=CC=C1CCC=CC(=O)CCC2=CC=C(C=C2)O)O
MXXWOMGUGJBKIW-YPCIICBESA-N,C1CCN(CC1)C(=O)C=CC=CC2=CC3=C(C=C2)OCO3
RHBGITBPARBDPH-UHFFFAOYSA-N,C1OC2=C(O1)C=C(C=C2)C=CC=CC(=O)O
MIWPBXQTBYPJEF-XBXARRHUSA-N,C1CCN(CC1)C(=O)CCCCC=CC2=CC3=C(C=C2)OCO3
QHWOFMXDKFORMO-XVNBXDOJSA-N,C1CCN(CC1)C(=O)C=CCCC2=CC3=C(C=C2)OCO3
ORJDDOBAOGKRJV-CQSZACIVSA-N,COC1=CC(=C2C(=O)CC(OC2=C1)C3=CC=CC=C3)O
DTFXGVGIKNSCQQ-UHFFFAOYSA-N,CC1=C(C2=C(C=C1O)OC(=C(C2=O)O)C3=CC(=C(C=C3)O)O)O
RYEFFICCPKWYML-QCGISDTRSA-N,CC12C3C4C(C(C1(CC5C2(O5)C(=O)O3)O)C(=O)O4)C(C)(C)O
AKNILCMFRRDTEY-NUGKWEEESA-N,COC1=C(C=CC(=C1)C(=O)OC2C3C=COC(C3C4(C2O4)CO)OC5C(C(C(C(O5)CO)O)O)O)O
YJGVMLPVUAXIQN-HAEOHBJNSA-N,COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)O
GOZCEKPKECLKNO-RKQHYHRCSA-N,CC(=O)C1=CC=C(C=C1)OC2C(C(C(C(O2)CO)O)O)O
JTHHOHSDOJJNFN-GJQHCXDKSA-N,CC=C(C)C(=O)OC1C=CC(=O)OC1C=CC(C(C)O)O
PTBQWWHUOMDVFS-UHFFFAOYSA-N,CCCC(=O)C1=C(C=C(C(=C1O)CCO)O)OC
IOUVKUPGCMBWBT-QNDFHXLGSA-N,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2OC3C(C(C(C(O3)CO)O)O)O)O)O)O
VGEREEWJJVICBM-UHFFFAOYSA-N,C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O
BMLZFLQMBMYVHG-UHFFFAOYSA-N,CC(=CCOC1=C2C(=C(C3=C1OC(=O)C=C3)OC)C=CO2)C
DTNGBIGBPPPNNB-UHFFFAOYSA-N,CC1=CC(=O)C2=C(O1)C=C(C(=C2O)CC=C(C)C)O
UZIIHSGPIUZAET-UHFFFAOYSA-N,CC(=O)OCC(C(C(C(C(COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C
ZRZQXSGEIJXJEO-RBBKRZOGSA-N,CC(=CCC1=C(C2=C(C=C1)NC(=O)C(C2(C3=CC=C(C=C3)OC)O)OC)O)C
DUXQKCCELUKXOE-CBBZIXHGSA-N,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(C(=C4C(=C3)OC(=CC4=O)C5=CC=C(C=C5)OC)O)OC)O)O)O)O)O)O
ZFHSKBJBODQVBX-AXTRIDKLSA-N,CC1CCC(CC2=C(C(=O)CC12)C)C(=C)C(=O)O
KTEXNACQROZXEV-SLXBATTESA-N,CC1=CCCC2(C(O2)C3C(CC1)C(=C)C(=O)O3)C
KTEXNACQROZXEV-QLIGOWBFSA-N,CC1=CCCC2(C(O2)C3C(CC1)C(=C)C(=O)O3)C
DJWYOLJPSHDSAL-UHFFFAOYSA-N,CC(C)(CO)C(C(=O)NCCC(=O)NCCSSCCNC(=O)CCNC(=O)C(C(C)(C)CO)O)O
XOMRRQXKHMYMOC-NRFANRHFSA-N,CCCCCCCCCCCCCCCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
IPCSVZSSVZVIGE-UHFFFAOYSA-N,CCCCCCCCCCCCCCCC(=O)O
PENSQRMNZZWMGV-UHFFFAOYSA-N,COC1=CC2=C(C=C1C3=CC4=C(C=C5C(=C4)C=CO5)OC3=O)OCO2
INBMTJJPUABOQJ-VGOFMYFVSA-N,CC(=CCCC(=CCC1=C(C=C2C(=C1)C=CC(=O)O2)O)C)C
MBRLOUHOWLUMFF-UHFFFAOYSA-N,CC(=CCC1=C(C=CC2=C1OC(=O)C=C2)OC)C
IVRQZYXJBVMHCW-OTCFHACESA-N,C1C(C(C(O1)OCC2C(C(C(C(O2)OCCC3=CC=C(C=C3)O)O)O)O)O)(CO)O
DCTLJGWMHPGCOS-UHFFFAOYSA-N,CC(=CCC1=C2C(=C3C(=C1O)C(=O)C(=CO3)C4=CC=C(C=C4)O)C=CC(O2)(C)C)C
LNOHXHDWGCMVCO-NTKSAMNMSA-N,COC1=C(C=C(C2=C1OC(=CC2=O)C3=CC=CC=C3)O)OC4C(C(C(C(O4)C(=O)O)O)O)O
PXQPEWDEAKTCGB-UHFFFAOYSA-N,C1=C(NC(=O)NC1=O)C(=O)O
AQRNEKDRSXYJIN-IRFILORWSA-N,C1C(C(C(C(O1)OC(CCC2=CC(=C(C=C2)O)O)CC(=O)CCC3=CC(=C(C=C3)O)O)O)O)O
XYUFCXJZFZPEJD-XMSQKQJNSA-N,C1CC(C(CNC1)NC(=O)C2=CC=C(C=C2)O)OC(=O)C3=CC(=C(C(=C3)O)C(=O)C4=C(C=CC=C4O)C(=O)O)O
XHBZOAYMBBUURD-UHFFFAOYSA-N,COC1=CC=C(C=C1)CC(=O)C2=C(C=C(C=C2)O)O
RFWGABANNQMHMZ-ZCHJGGQASA-N,CC=C1C(C(=COC1OC2C(C(C(C(O2)CO)O)O)O)C(=O)OC)CC(=O)OCCC3=CC(=C(C=C3)O)O
MIJYXULNPSFWEK-LGSDIRQTSA-N,CC1(CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1)C)C(=O)O)C
QHGUCRYDKWKLMG-UHFFFAOYSA-N,C1=CC(=CC=C1C(CN)O)O
GAIVGINVGXHEIA-ZAAJWPAISA-N,CCC(C)C=C(C)C=CC1=CC2=CC(=O)C3(C(C2=CO1)C(C(=O)O3)C(=O)C)C
IZSWILLJDXDGDJ-FARCUNLSSA-N,CC(C=CC1C(CC(=O)O1)NC2=CC=C(C=C2)C(=O)O)O
DUECABXXAMFFBH-UHFFFAOYSA-N,CC(=C)C1COC2=C(O1)C=C3C=CC(=O)OC3=C2
UJQXYSRVSXKEES-YIERNNEGSA-N,CC(=CCCC(=CCOC1=C(C=C(C=C1)C=CCO)OC)C)C
IEVVSJFLBYOUCJ-UHFFFAOYSA-N,CC1=CC(=C(C2=C1C(=O)OC3=C(O2)C4=C(C(=C3C)O)C(=O)OC4O)C=O)O
AQZHBCDRWFMXIN-UHFFFAOYSA-N,CC1=CC(=CC2=C1C(=O)C3=C(C=C(C=C3O2)O)O)O
MRIAQLRQZPPODS-UHFFFAOYSA-N,COC1=C(C=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(C(=C3OC)OC)OC)OC)OC
RTATXGUCZHCSNG-QHWHWDPRSA-N,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O
OBKKEZLIABHSGY-DOYQYKRZSA-N,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)O)O)O)CO)O)O)O)O)O
OBGPEBYHGIUFBN-UHFFFAOYSA-N,CC(=CCC1=C(C=CC(=C1)C2=COC3=C(C2=O)C=CC(=C3)O)O)C
YGCYRQKJYWQXHG-RDNQFMDVSA-N,CC1(CCCC2(C1CCC(=C)C2CCC3=CCOC3=O)C)COC4C(C(C(C(O4)CO)O)O)O
DFPMSGMNTNDNHN-ZPHOTFPESA-N,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O
DFPMSGMNTNDNHN-CSIAVLANSA-N,CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O
DLIKSSGEMUFQOK-RGHIGTIISA-N,C1C(OC2=CC(=CC(=C2C1=O)O)OC3C(C(C(C(O3)CO)O)O)O)C4=CC=C(C=C4)O
